col0,col1,col2
1117.5,292.0,166.0
1118.5,327.0,177.0
1119.5,300.0,194.0
1120.5,451.0,270.0
1121.5,588.0,318.0
1122.5,696.0,361.0
1123.5,751.0,466.0
1124.5,875.0,533.0
1125.5,1045.0,612.0
1126.5,995.0,665.0
1127.5,1413.0,800.0
1128.5,1606.0,1029.0
1129.5,1782.0,1145.0
1130.5,2090.0,1323.0
1131.5,2196.0,1517.0
1132.5,2501.0,1710.0
1133.5,2393.0,1606.0
1134.5,3045.0,2059.0
1135.5,3202.0,2260.0
1136.5,3495.0,2481.0
1137.5,3775.0,2684.0
1138.5,3976.0,2931.0
1139.5,4184.0,3115.0
1140.5,3831.0,2805.0
1141.5,4524.0,3454.0
1142.5,4689.0,3683.0
1143.5,4864.0,3918.0
1144.5,4990.0,3939.0
1145.5,5123.0,4000.0
1146.5,5038.0,4087.0
1147.5,4421.0,3794.0
1148.5,4959.0,4239.0
1149.5,4923.0,4126.0
1150.5,4764.0,4114.0
1151.5,4494.0,4132.0
1152.5,4344.0,4179.0
1153.5,4191.0,4033.0
1154.5,3538.0,3509.0
1155.5,3931.0,3759.0
1156.5,3659.0,3734.0
1157.5,3380.0,3581.0
1158.5,3303.0,3439.0
1159.5,2947.0,3326.0
1160.5,2694.0,3193.0
1161.5,2152.0,2607.0
1162.5,2322.0,2806.0
1163.5,2075.0,2785.0
1164.5,1881.0,2528.0
1165.5,1666.0,2343.0
1166.5,1567.0,2275.0
1167.5,1383.0,2103.0
1168.5,1103.0,1741.0
1169.5,1242.0,1858.0
1170.5,1167.0,1835.0
1171.5,957.0,1660.0
1172.5,950.0,1558.0
1173.5,800.0,1458.0
1174.5,807.0,1368.0
1175.5,629.0,1163.0
1176.5,608.0,1263.0
1177.5,577.0,1230.0
1178.5,610.0,1150.0
1179.5,526.0,1127.0
1180.5,495.0,984.0
1181.5,443.0,932.0
1182.5,384.0,804.0
1183.5,400.0,871.0
1184.5,420.0,773.0
1185.5,372.0,809.0
1186.5,325.0,752.0
1187.5,366.0,726.0
1188.5,294.0,645.0
1189.5,265.0,590.0
1190.5,296.0,629.0
1191.5,293.0,634.0
1192.5,263.0,542.0
1193.5,281.0,556.0
1194.5,257.0,539.0
1195.5,220.0,532.0
1196.5,227.0,429.0
1197.5,244.0,479.0
1198.5,211.0,489.0
1199.5,200.0,416.0
1200.5,186.0,431.0
1201.5,208.0,371.0
1202.5,185.0,402.0
1203.5,164.0,333.0
1204.5,174.0,399.0
1205.5,177.0,371.0
1206.5,167.0,384.0
1207.5,169.0,350.0
1208.5,171.0,324.0
1209.5,149.0,321.0
1210.5,119.0,284.0
1211.5,146.0,303.0
1212.5,141.0,308.0
1213.5,142.0,275.0
1214.5,134.0,258.0
1215.5,123.0,291.0
1216.5,119.0,258.0
1217.5,95.0,249.0
1218.5,123.0,263.0
1219.5,146.0,238.0
1220.5,106.0,235.0
1221.5,130.0,215.0
1222.5,109.0,235.0
1223.5,101.0,197.0
1224.5,97.0,192.0
1225.5,114.0,235.0
1226.5,105.0,220.0
1227.5,91.0,193.0
1228.5,121.0,217.0
1229.5,93.0,207.0
1230.5,116.0,204.0
1231.5,96.0,178.0
1232.5,96.0,212.0
1233.5,91.0,168.0
1234.5,75.0,175.0
1235.5,99.0,164.0
1236.5,95.0,188.0
1237.5,82.0,159.0
1238.5,80.0,161.0
1239.5,86.0,174.0
1240.5,81.0,173.0
1241.5,85.0,161.0
1242.5,81.0,141.0
1243.5,90.0,155.0
1244.5,86.0,157.0
1245.5,61.0,126.0
1246.5,81.0,124.0
1247.5,72.0,144.0
1248.5,78.0,145.0
1249.5,80.0,108.0
1250.5,83.0,133.0
1251.5,92.0,130.0
1252.5,52.0,125.0
1253.5,73.0,124.0
1254.5,83.0,117.0
1255.5,63.0,116.0
1256.5,73.0,130.0
1257.5,65.0,124.0
1258.5,69.0,111.0
1259.5,57.0,85.0
1260.5,67.0,97.0
1261.5,59.0,114.0
1262.5,58.0,105.0
1263.5,61.0,119.0
1264.5,45.0,90.0
1265.5,61.0,110.0
1266.5,59.0,80.0
1267.5,55.0,95.0
1268.5,66.0,79.0
1269.5,61.0,86.0
1270.5,55.0,80.0
1271.5,63.0,81.0
1272.5,59.0,86.0
1273.5,50.0,73.0
1274.5,58.0,94.0
1275.5,45.0,89.0
1276.5,55.0,75.0
1277.5,47.0,75.0
1278.5,59.0,74.0
1279.5,45.0,83.0
1280.5,38.0,68.0
1281.5,58.0,69.0
1282.5,48.0,69.0
1283.5,51.0,86.0
1284.5,57.0,65.0
1285.5,42.0,73.0
1286.5,49.0,75.0
1287.5,40.0,63.0
1288.5,43.0,65.0
1289.5,52.0,76.0
1290.5,57.0,65.0
1291.5,49.0,59.0
1292.5,58.0,71.0
1293.5,42.0,65.0
1294.5,43.0,55.0
1295.5,39.0,64.0
1296.5,39.0,60.0
1297.5,29.0,43.0
1298.5,36.0,42.0
1299.5,47.0,61.0
1300.5,41.0,65.0
1301.5,26.0,64.0
1302.5,41.0,55.0
1303.5,43.0,59.0
1304.5,34.0,60.0
1305.5,35.0,44.0
1306.5,43.0,55.0
1307.5,41.0,54.0
1308.5,40.0,29.0
1309.5,46.0,48.0
1310.5,34.0,44.0
1311.5,51.0,44.0
1312.5,40.0,53.0
1313.5,46.0,36.0
1314.5,26.0,45.0
1315.5,25.0,38.0
1316.5,30.0,46.0
1317.5,40.0,47.0
1318.5,31.0,47.0
1319.5,38.0,52.0
1320.5,37.0,41.0
1321.5,41.0,32.0
1322.5,27.0,34.0
1323.5,29.0,50.0
1324.5,40.0,46.0
1325.5,36.0,45.0
1326.5,32.0,35.0
1327.5,33.0,31.0
1328.5,38.0,38.0
1329.5,33.0,27.0
1330.5,33.0,35.0
1331.5,42.0,40.0
